id,name,distance,moving_time,elapsed_time,total_elevation_gain,start_date,average_speed,max_speed,average_temp,elev_high,elev_low,calories,pr_count,avg_hr,max_hr,min_hr
16618551883,DS AR w/ steven (W1),16.02,67.07,6913,33,2025-12-01T07:30:24Z,14.34,40.68,31,75,45,,0,,,
16606271019,DS Long Ride (W1),74.17,214.43,18178,685,2025-11-29T23:12:28Z,20.75,50.83,29,738,53,,2,153,186,78
16596416876,DS TT TEST (W1),20.95,46.12,2767,9,2025-11-28T00:24:30Z,27.26,36.36,27,79,63,,0,163,172,142
16578933996,DS INTERVALS (W1),9.8,22.65,1359,45,2025-11-27T03:29:04Z,25.96,42.91,,40.8,18.6,,0,171,189,139
16557385671,DS 2x20 Indang Ride (W1),40.28,108.18,7029,221,2025-11-24T22:07:30Z,22.34,41.04,23,318,54,,0,152,182,95
