id,name,distance,moving_time,elapsed_time,total_elevation_gain,start_date,average_speed,max_speed,average_temp,elev_high,elev_low,calories,pr_count,avg_hr,max_hr,min_hr,cleats
17209130137,DS TT TEST (W8),20.04,41.82,2509,34,2026-01-27T00:37:13Z,28.76,40.46,25,79,-8,,1,139,183,89,1
17209107299,DS Long Ride (W8),48.95,175.67,15079,561,2026-01-25T06:02:05Z,16.72,49.82,28,268,57,,0,194,144,96,1
17163030464,DS Free ride again (W8),19.92,53.65,4232,23,2026-01-24T09:17:35Z,22.28,41.18,24,84,51,,0,,,,1
17163030526,DS Zone 2 (W8),39.92,108.78,6545,238,2026-01-22T23:12:54Z,22.02,45.36,23,311,52,,0,142,167,88,1
17163030426,DS Free ride (W8),33.8,113.87,11690,124,2026-01-21T23:06:39Z,17.81,45.43,26,206,33,,0,133,189,73,1
17163030365,DS INTERVAL (W8),12.11,27.1,1626,9,2026-01-20T23:16:40Z,26.82,39.74,24,79,65,,0,167,190,109,1
