id,name,distance,moving_time,elapsed_time,total_elevation_gain,start_date,average_speed,max_speed,average_temp,elev_high,elev_low,calories,pr_count,avg_hr,max_hr,min_hr
16882309611,DS Zone 2 (W5),39.83,103.53,6440,216,2025-12-30T07:15:05Z,23.08,43.85,29,314,22,,0,142,164,92
16882332016,DS TT TEST (W5),20.21,43.55,2613,38,2025-12-29T00:57:59Z,27.84,38.02,28,77,54,,0,163,179,105
16835259111,DS Long Ride (W5),85.92,250.78,18715,847,2025-12-25T04:23:09Z,20.56,50.69,30,737,58,,19,153,182,92
16826945613,DS INTERVAL (W5),12.14,27.78,1683,34,2025-12-24T04:29:55Z,26.21,36.58,28,79,63,,0,168,190,101
16818718379,DS Free ride (W5),20.76,57.92,9660,82,2025-12-23T06:58:31Z,21.51,39.67,28,97,48,,0,,,
