id,name,distance,moving_time,elapsed_time,total_elevation_gain,start_date,average_speed,max_speed,average_temp,elev_high,elev_low,calories,pr_count,avg_hr,max_hr,min_hr
16729274910,DS Zone 2 (W3),25.86,67.15,4592,106,2025-12-11T23:04:30Z,23.11,40.46,25,198,51,,0,143,170,92
16709405830,DS Interval (W3),12.64,30.57,1853,14,2025-12-11T00:18:17Z,24.8,40.75,28,87,62,,0,153,186,108
