id,name,distance,moving_time,elapsed_time,total_elevation_gain,start_date,average_speed,max_speed,average_temp,elev_high,elev_low,calories,pr_count,avg_hr,max_hr,min_hr
16818718379,Afternoon Ride,20.76,57.92,9660,82,2025-12-23T06:58:31Z,21.51,39.67,28,97,48,,0,,,
16816233254,DS Free ride (W4),52.25,151.77,11718,297,2025-12-22T06:31:01Z,20.66,54.36,27,321,43,,0,145,184,87
16802014462,DS TT TEST (W4),20.16,42.77,2566,47,2025-12-21T09:05:03Z,28.28,40.03,26,78,60,,1,170,191,132
16802014525,DS Zone 2 (W4),58.12,165.22,11161,310,2025-12-19T05:50:14Z,21.11,45,27,311,44,,0,148,191,92
16802014255,DS Interval (W4),5.75,13.82,1131,18,2025-12-18T04:39:33Z,24.98,40.03,31,75,60,,0,158,183,110
